paper_id,paper_title,main_classification,subclassification,focus,main_contribution,context,data_collection,tries_to_help_users_to,summary_tries_to_help_to,keywords,sample_size,sample_demographics,sample_recruitment,user_compensation,user_level,domain,publication_type,authors,year,venue
P120,PACMAN: Personal Agent for Access Control in Social Media,Control Information Disclosure,interaction with social networks,Privacy management in OSNs,"Propose a personal assistant agent that recommends personalized access control decisions based on the social context of any information disclosure by incorporating communities generated from the network structure of the user and utilizing information in their profiles, in addition to the particular content to be shared.",Privacy advisory: learning access control decisions by combining social relationships and information about the content,Lab. exp.,be assisted by recommendation systems which can guide them towards the appropriate access control decisions,manage privacy settings,Social Media; Machine Learning; Access Control,26,general,mixed,direct payment,lay,Social Networks,Journal Article,"Misra G., Such J.M.",2017,IEEE Internet Computing
P121,PANOLA: A Personal Assistant for Supporting Users in Preserving Privacy,Control Information Disclosure,Negotiation and conflict resolution,Auction-based privacy negotiation,"Present Privacy Auctioning Learning Agent (PANOLA), which acts as a personal assistant to users in situations where a piece of co-owned content is being shared.","Privacy setting: each user in the system is represented by a personal assistant, which is a software agent that can perceive, reason, and act on behalf of its user",Proof-of-concept,manage the privacy of their content that belongs to multiple users,manage multiparty privacy,Autonomous agents; online social networks; privacy; reinforcement learning,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Ulusoy O., Yolum P.",2021,ACM Transactions on Internet Technology
P122,PARA: Privacy Management and Control in Emerging IoT Ecosystems using Augmented Reality,Control Information Disclosure,limited user interface,Personal privacy preferences in smart devices,Present a novel AR privacy management interface (PARA) that uses AR visualization to contextualize data disclosure and improve user’s perceptions of privacy threats.,Privacy settings: use of AR (augumented reality) visualization to contextualize data disclosure and improve user’s perceptions of privacy threats,Lab. exp.,users can safeguard their privacy without compromising the devices’ functionality,manage privacy settings,privacy; management; control; graphical user interfaces; smart devices; augmented reality; mixed reality; AR-IoT interaction,32,academic community,offline,Other,mixed,Internet of Things,Conference Paper,"Bermejo Fernandez, C.; Lee, L. H.; Nurmi, P.; Hui, P.",2021,Proceedings of the 2021 International Conference on Multimodal Interaction
P123,Partial Consent: A Study on User Preference for Informed Consent,Control Information Disclosure,Permission granting on mobile applications,Partial Consent,"Evaluates the use, acceptance and desirability of consenting with partial consent","Permission granting: a prototype with Maybe button was implemented on an emulated interface of Android’s access control model. This allowed users to temporarily grant permissions for 1, 3 or 7 days, depending on the preferred duration",Online exp.,contemplate on the probable consequence and thus potentially allowing them reassessing the decisions taken earlier,control information disclosure,Partial consent; Informed consent; Data protection; User study,31,general,online,direct payment,lay,Software applications,Journal Article,"Bock S., Chowdhury A.F., Momen N.",2021,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
P124,Pattern-based incorporation of privacy preferences into privacy policies: Negotiating the conflicting needs of service providers and end-users,Control Information Disclosure,Manage Privacy Settings,Privacy Policy,Present the pattern “Privacy Policy Options” (PPO) pattern for capturing end-users’ preferences by modifiable privacy policy statements.,"Privacy policy: the user interface is implemented as a Windows  app - it loads the service description and policies from service providers, containing all processing the service intends to do",Proof-of-concept,specify their privacy preferences,manage privacy settings,Pattern; Privacy; Privacy Policies; Human Computer Interaction,10,academic community,NI,NI,mixed,Online Services,Conference Paper,"Mohammadi N.G., Pampus J., Heisel M.",2019,ACM International Conference Proceeding Series
P125,PDVLoc: A personal data vault for controlled location data sharing,Control Information Disclosure,Control Information Disclosure,Location privacy,"Develop a framework for controlled location data sharing, called PDVLoc",Information sharing: users (or trusted guardians on behalf of users) can define not only who has access to what data but also the granularity of location data for sharing,FIeld Study,have fine-grained control on their location data using granular ACLs,control information disclosure,"Location-based mobile service; selective sharing; privacy, personal data vault; system",19,general,mixed,None,mixed,Social Networks,Journal Article,"Mun M.Y., Kim D.H., Shilton K., Estrin D., Hansen M., Govindan R.",2014,ACM Transactions on Sensor Networks
P126,Perman: Fine-Grained Permission Management for Android Applications,Control Information Disclosure,Permission granting on mobile applications,Android permission model,"Design Perman, a fine grained permission management system for 3PL-apps",permission settings: Perman can track the execution of an app during its runtime and provide an effective permission isolation mechanism to the original app and its 3PLs,Case study,"manage permissions in module granularity during app runtime,",manage privacy settings,-,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Fu J., Zhou Y., Liu H., Kang Y., Wang X.",2017,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
P127,Permissions plugins as android apps,Control Information Disclosure,Permission granting on mobile applications,Android permission model,"Propose Dalf, a framework for extensible permissions plugins that provides both flexibility and isolation",Android permission model: flexible control over the resources accessed by apps using permissions plugins - plugins are app themselves,Proof-of-concept,install plugins to mediate resource requests made by apps,manage privacy settings,flexible permissions; android; plugins,-,N/A,N/A,N/A,N/A,Software applications,Journal Article,"Raval N., Razeen A., Machanavajjhala A., Cox L.P., Warfield A.",2019,"MobiSys 2019 - Proceedings of the 17th Annual International Conference on Mobile Systems, Applications, and Services"
P128,Personal Data Vaults: A Locus of Control for Personal Data Streams,Control Information Disclosure,Control Information Disclosure,Privacy Management,"Present Personal Data Vaults (PDVs), a privacy architecture in which individuals retain ownership of their data","Information sharing: The PDV decouples the capture and archival of personal data streams from the sharing of that information. Instead of individuals sharing their personal data streams directly with services, the authors propose the use of secure containers to which only the individual has complete access",prototype,retain ownership of their data and understand the implications of different privacy choices and informs decisions about data sharing and manage their own sharing decisions,control information disclosure,Personal participatory sensing; privacy policy,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Mun M., Hao S., Mishra N., Shilton K., Burke J., Estrin D., Hansen M., Govindan R.",2010,"Proceedings of the 6th International Conference on Emerging Networking Experiments and Technologies, Co-NEXT'10"
P129,Personalized Privacy-aware Image Classification,Control Information Disclosure,Control Information Disclosure,Privacy of images,Introduce a system that performs privacy-aware classification of images.,"Image sharing: automatically process one’s images before they are shared with the OSN, and alert the user in case their content is found to be sensitive",Experiment with dataset,control information sharing,control information disclosure,-,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Spyromitros-Xioufis E., Papadopoulos S., Popescu A., Kompatsiaris Y.",2016,ICMR 2016 - Proceedings of the 2016 ACM International Conference on Multimedia Retrieval
P130,PERUIM: Understanding mobile application privacy with permission-UI mapping,Control Information Disclosure,Permission granting on mobile applications,permission-UI mapping,"Introduces permission-UI mapping, which connects permissions with user interface (UI) components","Privacy visualisation: PERUIM automatically extract the permission-UI mapping from an application based on both dynamic and static analysis, and represent the analysis results with a graphical representation",Proof-of-concept,better understand how and why permissions are used within a mobile application,manage privacy settings,Mobile applications; Android; functionality; permission; user interface (UI),-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Li Y., Guo Y., Chen X.",2016,UbiComp 2016 - Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing
P131,PHIN: A Privacy Protected Heterogeneous IoT Network,Raise Privacy Awareness,Risk communication,Deciding on IoT device installation,"Propose a new privacy protection framework, called Protected Heterogeneous IoT Network (PHIN), that aims to identify privacy risks associated with adding a new IoT device to the network and notifying the user about those risks","Privacy settings: PHIN focuses on identifying inconsistencies between a new IoT device and its privacy policy, analyzing inference risks of PII by third parties, and notifying users about the privacy risks of deploying the device in a network",Motivating Example,understand privacy risks and make educated decisions before deploying a new IoT device in a network,raise privacy awareness,Personally Identifiable Information; Heterogeneous IoT; Privacy Notice; Privacy Risk Analysis,-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Gupta S.D., Nygaard A., Kaplan S., Jain V., Ghanavati S.",2021,International Conference on Research Challenges in Information Science
P132,Policy resolution of shared data in online social networks,Control Information Disclosure,Negotiation and conflict resolution,Privacy management of co-owned data in OSNs;Fuzzy-logic based group decision-making,Propose a set of rules to be incorporated to safeguard the privacy policies of related users while sharing information and other forms of media online,"Privacy settings: In terms of usability, the implementation of this model eliminates the review of the data owner’s privacy settings every time he or she disseminates a shared data item. By attributing the confidence level to the accessor instead of the data owner, it is easier for the users to set up default privacy configurations for every accessor based on their relationship with the respective user.",motivating example,limit the visibility of the shared content that they are co-owner from the unintended audience in case they find it sensitive in nature,manage multiparty privacy,Fuzzy logic ;OSN; Privacy; Shared data,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Shetty N.P., Muniyal B., Mowla S.",2020,International Journal of Electrical and Computer Engineering
P133,Polisis: Automated Analysis and Presentation of Privacy Policies Using Deep Learning,Raise Privacy Awareness,Improving querying and readability,automatically annotating each segment of a privacy policy with a set of labels describing its data practices,"Design and implement Polisis, an approach for automatically annotating previously unseen privacy policies with high-level and fine-grained labels from a prespecified taxonomy",Privacy policy:neural networks that extracts both high-level privacy practices as well as fine-grained information from privacy policies,Online exp.,understand the content of privacy policies at scale,raise knowledge of privacy policies,-,700,general,crowd sourcing platform,payment from the plataform used,mixed,Online Services,Conference Paper,"Harkous, Hamza; Fawaz, Kassem; Lebret, Remi; Schaub, Florian; Shin, Kang G; Aberer, Karl",2018,Proceedings of the 27th USENIX Security Symposium
P134,Prediction of Mobile App Privacy Preferences with User Profiles via Federated Learning,Control Information Disclosure,Recommendation-based,Automated prediction,Present methods for generating privacy profiles and using these to predict user’s answers to permission requests in mobile devices,Privacy settings: privacy preserving clustering techniques to generate the profiles - to predict users'grant decision,Experiment with dataset,reduce the amount of input required from the user,manage privacy settings,Privacy; mobile devices; automated prediction; federated learning,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Brandão A., Mendes R., Vilela J.P.",2022,CODASPY 2022 - Proceedings of the 12th ACM Conference on Data and Application Security and Privacy
P135,Preserving privacy as social responsibility in online social networks,Control Information Disclosure,Negotiation and conflict resolution,Privacy conflict resolution multi-agent systems,Develops a reciprocity based negotiation for reaching privacy agreements among users and introduces a negotiation architecture that combines semantic privacy rules with utility functions,Privacy settings: collaborative privacy management through agent negotiation that combines semantic privacy rules with utility functions,Proof-of-concept,"help each other preserve their privacy, viewing this as their social responsibility",manage multiparty privacy,Privacy; agreement; negotiation,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Kekulluoglu D., Kokciyan N., Yolum P.",2018,ACM Transactions on Internet Technology
P136,Preventative Nudges: Introducing Risk Cues for Supporting Online Self-Disclosure Decisions,Raise Privacy Awareness,Risk communication,alerting users of potential disclosure of private data at the time of disclosure,Use of risk cues as a strategy for supporting self-disclosure decisions in SNSs and the design of preventative nudges as an approach for providing individual privacy support and guidance in SNSs.,Information disclosure: use of risk scenarios as a strategy for promoting safer privacy decisions in SNSs.,Online exp.,know about the risks of unsafe self-disclosure practices,raise privacy awareness,adaptive privacy; digital nudging; social network sites; risk perception; human-computer interaction; artificial intelligence,281,general,online,payment from the plataform used,mixed,Social Networks,Conference Paper,"Díaz Ferreyra, N. E.; Kroll, T.; Aïmeur, E.; Stieglitz, S.; Heisel, M.",2020,Information
P137,PriGuardTool: A web-based tool to detect privacy violations semantically,Control Information Disclosure,Control Information Disclosure,Privacy management in OSNs,"Present PriGuardTool, a privacy management web-based tool that can detect privacy violations in online social networks. It enables users to enter their privacy constraints and then to check for privacy violations at desired times, similar in principle to virus checks.","Privacy settings: each user is represented by a software agent in the system that first collects user’s privacy concerns, explicitly specified as what types of content are meant to be seen by which audience. The system represents these privacy constraints as commitments between the user and the online social network",Lab. Exp.,detect privacy violations,control information disclosure,Privacy; Online Social Networks; Commitment; Ontology,3,general,NI,NI,NI,Social Networks,Journal Article,"Kökciyan N., Yolum P.",2016,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
P138,PriMa: a comprehensive approach to privacy protection in social network sites,Control Information Disclosure,Interaction with social networks,Privacy management in OSNs,"Propose PriMa (Privacy Manager), a privacy protection mechanism that supports semiautomated generation of access rules for users’ profile information, filling the gap between the privacy management needs of SN users and the existing SNs’ privacy protection mechanisms","Privacy settings: PriMa access rules are generated on the basis of users’ privacy preferences on their profile data, the sensitivity of the data, and the risk of disclosing such data to other users",Prototype,protect from privacy breaches,manage privacy settings,Privacy; Social networks; Access control,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Squicciarini A.C., Paci F., Sundareswaran S.",2014,Annales des Telecommunications/Annals of Telecommunications
P139,PriMe: Human-centric Privacy Measurement based on User Preferences towards Data Sharing in Mobile Participatory Sensing Systems,Control Information Disclosure,Control Information Disclosure,Privacy management in mobile apps,"Propose the humancentric privacy measurement method PriMe, which quantifies privacy risks based on user preferences towards data sharing in participatory sensing systems","Information sharing: The result of PriMe’s measurement is a floating point number from zero to one, with a higher number indicating a higher privacy risk",Field study,better understand their privacy risks in participatory sensing systems,control information disclosure,-,65,academic community,NI,None,lay,Software applications,Conference Paper,"Liu R., Cao J., Vansyckel S., Gao W.",2016,"2016 IEEE International Conference on Pervasive Computing and Communications, PerCom 2016"
P140,PriSEC: A privacy settings enforcement controller,Control Information Disclosure,Manage Privacy Settings,The accessibility of web privacy controls,"Propose a new paradigm to improve the accessibility of web privacy controls - automatically find webpages with privacy settings, locate the fine-grained options within these pages, group them by topic, present them in a searchable user interface, and allow users to automatically enforce them on demand","Propose a new paradigm to improve the accessibility of web privacy controls - automatically find webpages with privacy settings, locate the fine-grained options within these pages, group them by topic, present them in a searchable user interface, and allow users to automatically enforce them on demand",Online exp.,alleviate the burden of enforcing privacy preferences.,manage privacy settings,-,148,general,crowd sourcing platform,payment from the plataform used,mixed,Online Services,Conference Paper,"Khandelwal R., Linden T., Harkous H., Fawaz K.",2021,"30th USENIX Security Symposium, USENIX Security 2021"
P141,Privacy as Part of the App Decision-Making Process,Raise Privacy Awareness,Raise Privacy Awareness,Privacy indicator,Designed a short “Privacy Facts” display - a simplified privacy checklist that fits on the main application display scree and can assist users to select apps that request fewer permissions,"Notice and choice: considering privacy when the user select applications to download in the application marketplace by presenting a ""privacy facts""",Lab. exp. + Online exp.,make more privacy-protecting decisions,raise privacy awareness,Privacy; Android; Mobile; Interface; Decision-making,386,general,mixed,payment from the plataform used,lay,Software applications,Conference Paper,"Kelley, Patrick Gage; Cranor, Lorrie Faith; Sadeh, Norman",2013,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
P142,Privacy Care: A Tangible Interaction Framework for Privacy Management,Control Information Disclosure,limited user interface,privacy management more effective and seamlessly natural in everyday settings,"Propose Privacy Care interaction framework, which is rooted in the literature of privacy management and tangible computing and promises the provision of an embodied experience that is Direct, Ready-to-Hand, and Contextual for effectively raising awareness and empowering users with seamless control",Privacy management in ubiquitous environment:tangible interaction (alternative to GUI-based approaches).- Privacy Care: A Tangible Interaction Framework for Privacy Management,Semi-structured focus groups,"have an embodied experience that is Direct, Ready-to-Hand, and Contextual for effectively raising awareness and empowering users with seamless control",control information disclosure,privacy care framework; privacy management; tangibility for privacy; Ubiquitous computing,15,age,offline,Other,lay,Internet of Things,Journal Article,"Mehta V., Gooch D., Bandara A., Price B., Nuseibeh B.",2021,ACM Transactions on Internet Technology
P143,Privacy CURE: Consent Comprehension Made Easy,Control Information Disclosure,Control Information Disclosure,Consent,Present a prototype based on GDPR requirements to improve user comprehension with respect to what data subjects actually consent to,"Consent: Consent reqUest useR intErface (CURE) prototype, which is based on the GDPR requirements and the interpretation of those requirements by the Article 29 Working Party - laptop e desktop",Online exp.,"more control over the processing of their personal data, by providing them with more transparency regarding personal data processing and giving them the opportunity to customize their consent",control information disclosure,Consent request; GDPR; Informed consent; Usable privacy,35,general,NI,NI,mixed,Online Services,Conference Paper,"Drozd O., Kirrane S.",2020,"35th IFIP TC 11 International Conference on Information Security and Privacy Protection, SEC 2020"
P144,Privacy Disclosures Detection in Natural-Language Text Through Linguistically-motivated Artificial Neural Networks,Control Information Disclosure,Control Information Disclosure,Information disclosure in text,"Proposes a privacy disclosure identication framework, comprised of neural network model with linguistics.",Information sharing: use of Natural Language Processing to detect personal data disclosure in text messages.,Proof of concept,take control of their shared information by automatically identifying text that might contain personal or private disclosures,control information disclosure,Privacy;  Security;  Natural Language Processing; Machine Learning,-,N/A,N/A,N/A,N/A,Online Services,Conference Paper,"Mehdy, Nuhil; Kennington, Casey; Mehrpouyan, Hoda",2019,Security and Privacy in New Computing Environments
P145,Privacy Dynamics: Learning Privacy Norms for Social Software,Control Information Disclosure,Control Information Disclosure,Privacy management in OSNs,"Present Privacy Dynamics, an adaptive architecture that learns privacy norms for different audience groups based on users’ sharing behaviours.",Information sharing: ILP (inspired by social identity theory) to learn a user’s privacy norms through examples of their sharing behaviour.,Experiment with dataset,re-configure the groups they explicitly defined using OSN settings.,control information disclosure,Adaptive privacy; online social networks; inductive logic programming; social identity theory,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Calikli G., Law M., Bandara A.K., Russo A., Dickens L., Price B.A., Stuart A., Levine M., Nuseibeh B.",2016,"Proceedings - 11th International Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2016"
P146,Privacy in Social Networks: How Risky is Your Social Graph?,Raise Privacy Awareness,Risk communication,privacy score of the user interaction in social networks,"Propose a measure for estimating the risk, in terms of disclosure of personal information, of interacting with OSN users","Information sharing: a risk measure to help users in judging a stranger (i.e., a never-met user) with whom they might establish a relationship so as to be informed of how much it might potentially be risky, in terms of disclosure of private information, to have interactions with him/her.",Experiment with dataset,be more privacy-aware,raise privacy awareness,-,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Akcora C., Carminati B., Ferrari E.",2012,Proceedings - International Conference on Data Engineering
P147,Privacy measurement method using a graph structure on online social networks,Raise Privacy Awareness,Risk communication,privacy score of the user interaction in social networks,Propose a user privacy measurement that can be comprehensively quantified within the social network environment of the individual,"Privacy awareness: this metric accurately and reliably displays the users' privacy disclosures, cultivates their privacy literacy, and addresses the root cause of privacy issues",Experiment with dataset,improve their privacy disclosures by helping them recognize their privacy status,raise privacy awareness,attribute content; graph structure; online social networks; privacy literacy; privacy measurement; similarity,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Li X., Zhao C., Tian K.",2021,ETRI Journal
P148,Privacy Modelling and Management for Assisted Living within Smart Homes,Control Information Disclosure,Manage Privacy Settings,Data collection by smart devices,Develop a metric to compute the sensitivity of the collected information and consequently the potential privacy risk,Information sharing: The requested data have to go through the Privacy Risk Detector first.,Case study,protect their personal data,manage privacy settings,-,-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Psychoula I., Chen L., Chen F.",2017,"2017 IEEE 19th International Conference on e-Health Networking, Applications and Services, Healthcom 2017"
P149,Privacy Negotiation Mechanism in Internet of Things Environments,Control Information Disclosure,Control Information Disclosure,Data flow in IoT environments,Present a mechanism of preservation of privacy in IoT environments,Information sharing: the mechanism mediates the exchange of information in IoT environments,Proof-of-concept,better manage the disclosure of their data,control information disclosure,Privacy; Privacy Preferences; Privacy Negotiation; Internet of Things,20,academic community,mixed,N/A,lay,Internet of Things,Conference Paper,"Couto F.R.P., Zorzo S.D.",2018,"Americas Conference on Information Systems 2018: Digital Disruption, AMCIS 2018"
P150,Privacy Pal: Improving Permission Safety Awareness of Third Party Applications in Online Social Networks,Raise Privacy Awareness,Risk communication,Privacy management in OSNs; granting permission to third app application,"Present Privacy Pal, a simple and effective analysis and visualization tool that allows users to gain an increased level of understanding on the security and privacy risks associated with granting permissions to third party applications in online social networks, like Facebook",Permission settings: Privacy Pal is designed in such a way that it should assist the user without limiting their access to enhancing content. This is done by collecting relevant information about the app in question at installation time,User study,make an informed decision regarding privacy and security risks associated with Facebook apps before they are downloaded,raise privacy awareness,Privacy; Usable Security; Online Social Networks; Visualization,8,general,NI,NI,lay,Social Networks,Conference Paper,"Tucker R., Tucker C., Zheng J.",2015,Proceedings - 2015 IEEE 7th International Symposium on Cyberspace Safety and Security
P151,Privacy policies for shared content in social network sites,Control Information Disclosure,Negotiation and conflict resolution,Auction-based privacy negotiation,"Present a theoretical representation of the collective privacy management problem, and propose a solution which builds upon well-known game theoretical results",Privacy settings: collaborative privacy management to improve private-data management and protection within OSNs,Online exp.,be free from the burden of manually selecting privacy preferences for each picture,manage multiparty privacy,Social networks; Privacy; Game theory; Clarke-Tax,119,academic community,NI,NI,lay,Social Networks,Journal Article,"Squicciarini A.C., Shehab M., Wede J.",2010,The VLDB Journal
P152,Privacy Policy Inference of User-Uploaded Images on Content Sharing Sites,Control Information Disclosure,Interaction with social networks,Policy recommendation systems,Propose an Adaptive Privacy Policy Prediction (A3P) system which aims to provide users a hassle free privacy settings experience by automatically generating personalized policies,Privacy settings: inferral based on the information available for a given user,Lab. exp + Online exp.,compose privacy settings for their images,manage privacy settings,Online information services; web-based services,196,general,mixed,Other,lay,Social Networks,Journal Article,"Squicciarini, Anna Cinzia; Lin, Dan; Sundareswaran, Smitha; Wede, Joshua",2015,IEEE Transactions on Knowledge and Data Engineering
P153,Privacy policy negotiation in social media,Control Information Disclosure,Negotiation and conflict resolution,Privacy management,Propose a negotiation mechanism for users to agree on a compromise for privacy conflicts,Privacy settings: use of heuristics that reduce the complexity of the negotiation mechanism,Proof-of-concept,negotiate privacy,manage multiparty privacy,Social media; privacy; conflicts; intimacy; social networking services; online social networks,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Such J.M., Rovatsos M.",2016,ACM Transactions on Autonomous and Adaptive Systems
P154,Privacy preference modeling and prediction in a simulated campuswide IoT environment,Control Information Disclosure,limited user interface,Privacy management,"Build machine learning models to predict users’ privacy decisions, using both contextual information and the corresponding cluster membership as training data.",Enhancement of privacy: model and prediction of users' privacy preferences in IoT,Lab. exp.,protect privacy in ubiquitous computing environments,manage privacy settings,IoT; privacy; preference modeling; experience sampling; Google Glass; K-modes clustering; conditional inference tree,172,academic community,offline,direct payment,lay,Internet of Things,Conference Paper,"Lee H., Kobsa A.",2017,"2017 IEEE International Conference on Pervasive Computing and Communications, PerCom 2017"
P155,Privacy protection based privacy conflict detection and solution in online social networks,Control Information Disclosure,Negotiation and conflict resolution,Privacy management in OSNs; group decision voting mechanism,Propose a collective privacy protection (CPP) to balance between the collaborative information sharing and the privacy protection for the owner and co-owners by majority vote,Information sharing: the owner creates the privacy policy and the co-owners make a decision in the privacy policy by vote. It additionally identifies and solves the privacy conflicts because at least one co-owner intends to keep private,Lab. exp,create the privacy policy and the co-owners to make a decision in the privacy policy by vote,manage multiparty privacy,Online Social Networks; Information sharing; Privacy protection,24,general,NI,NI,N/A,Social Networks,Journal Article,"Ratikan A., Shikida M.",2014,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
P156,Privacy Rating: A User-Centered Approach for Visualizing Data Handling Practices of Online Services,Raise Privacy Awareness,Improving visual presentation,Privacy visualization; tool for mapping and visualizing the privacy of online services,The design and evaluation of a privacy visualization aimed at empowering users to manage and protect their online privacy responsible,Privacy visualisation: Privacy Rating - a user-friendly privacy visualisation covering all relevant aspects of privacy,Online exp.,manage and protect their online privacy responsibly/ safeguard their online privacy and thus limit the privacy paradox,raise privacy awareness,Online privacy; privacy rating; privacy visualization; usability; user-centered design,30,general,mixed,Other,mixed,Online Services,Journal Article,"Barth S., Ionita D., De Jong M., Hartel P., Junger M.",2021,IEEE Transactions on Professional Communication
P157,Privacy Risk Analysis to Enable Informed Privacy Settings,Control Information Disclosure,Manage Privacy Settings,Privacy risk analysis,Present a method relying on a privacy risk analysis parameterized by privacy settings,Privacy settings/ privacy control page: a method for privacy risk analysis parameterized - UI,Use case,be informed about the consequences of their privacy settings in a simple and intelligible way,manage privacy settings,fitness tracking device; harm trees; privacy risk analysis; privacy settings; quantified self,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"De S.J., Le Metayer D.",2018,"3rd IEEE European Symposium on Security and Privacy Workshops, EURO S and PW 2018"
P158,Privacy Scoring of Social Network Users as a Service,Control Information Disclosure,Interaction with social networks,Privacy management in OSNs; privacy scoring of OSN friends,Propose a privacy scoring framework for calculating privacy scores of friends who are part of an egonetwork,"Information sharing: since disposition of an ego user is non-changing with different social networks, privacy scoring service could serve the ego user across all social networks",Experiment with dataset,take an informed decision on who sees what information,manage privacy settings,-,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Vidyalakshmi B.S., Wong R.K., Chi C.-H.",2015,"Proceedings - 2015 IEEE International Conference on Services Computing, SCC 2015"
P159,Privacy settings recommender for Online Social Network,Control Information Disclosure,Interaction with social networks,Privacy management in OSNs,"Present a recommendation system that, exploiting an association rules mining process, learns OSN users’ habits in releasing resources in online social networks, and exploit them to suggest customized access control policies",Information sharing: the recommender learns OSN users’ habits in defining ReBAC (Relationship Based Access Control) policies and then reuse the learnt information in order to suggest them customized access control policies,Lab. exp,define customized and fine-grained access control policies,manage privacy settings,Social network services; data privacy; recommender system,30,general,NI,NI,N/A,Social Networks,Conference Paper,"Albertini D.A., Carminati B., Ferrari E.",2017,"Proceedings - 2016 IEEE 2nd International Conference on Collaboration and Internet Computing, IEEE CIC 2016"
P160,Privacy theory in practice: designing a user interface for managing location privacy on mobile devices,Control Information Disclosure,Permission granting on mobile applications,Location privacy,"Propose a set of user interface (UI) controls for fine-grained management of location privacy settings based on privacy theory (Westin), privacy by design principles and general UI design principles",Privacy settings: The UI notifies users about the state of location data sharing and provides controls for adjusting location sharing preferences,Lab. exp,"address three key issues: whom to share location with, when to share it, and where to share it",manage privacy settings,Location privacy controls; location sharing management; user interface design; Westin’s privacy theory,23,academic community,online,direct payment,mixed,Software applications,Journal Article,"Ataei M., Degbelo A., Kray C.",2018,Journal of Location Based Services
P161,Privacy-aware location privacy preference recommendations,Control Information Disclosure,Recommendation-based,Privacy management,Propose a recommender based on user-user collaborative filtering (CF) for recommending location privacy preferences for users,Privacy settings: Use of model based machine learning classifiers to predict users’ privacy preferences based on their previous decisions. Also recommendations from people who have similar privacy decisions can also match users’ future decisions and can keep a low possibility of privacy leaks,Experiment with dataset,configure privacy settings,manage privacy settings,location-based services; privacy protection; recommender systems; prediction,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Zhao Y., Ye J., Henderson T.",2014,"MobiQuitous 2014 - 11th International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services"
P162,Privacy-Aware Personal Data Storage (P-PDS): Learning how to Protect User Privacy from External Applications,Control Information Disclosure,Manage Privacy Settings,Manage privacy data flow in third-party apps,"Propose a Privacy-aware Personal Data Storage, able to automatically take privacy-aware decisions on third parties access requests in accordance with user preferences",Privacy settings: an history-based active learning system take decisions on third party access request,Experiment with dataset,specify their privacy preferences on PDS data,manage privacy settings,Personal data storage (PDS); active learning; personalized privacy preferences,360,general,crowd sourcing platform,N/A,N/A,Online Services,Journal Article,"Singh B.C., Carminati B., Ferrari E.",2021,IEEE Transactions on Dependable and Secure Computing
P163,Privacy-Preserving Architecture for Cloud-IoT Platforms,Control Information Disclosure,Control Information Disclosure,Data collection by smart devices,"Design of an architecture to tackle privacy issues in IoT, specifically in the data collection and data management processes.",Privacy settings: the services can access data only if they are authorised to do so by the userdefined data-sharing policy,Proof-of-concept,"store and manage all their data, choosing the level of privacy/benefit they want (trading data for services) rather than having an all/nothing choice",control information disclosure,cloud architecture; cloud services; data management; privacy preservation; privacy protection; Internet of Things (IoT),-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Fernandez M., Jaimunk J., Thuraisingham B.",2019,"Proceedings - 2019 IEEE International Conference on Web Services, ICWS 2019 - Part of the 2019 IEEE World Congress on Services"
